"doc_id","year","pope","region","genre","persons","summary","is_dispute","is_dispute_conf","dispute_parties","dispute_parties_conf","matched_principal","domain","domain_conf","domain_other_detail"
"20026","1307","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France to share the joyful news of the capture of Fra Dolcino, the heresiarch leader of the Apostolic Brethren, by the Bishop of Vercelli's forces. This is a one-sided informational letter conveying news of a heresy suppression, not a live dispute before the papacy. Philip IV appears as the addressee and recipient of the good tidings, praised as a fervent defender of the faith.","no","high","","","","other","high","heresy/Inquisition news: capture of Dolcino"
"20027","1307","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee) | Edward I 'Longshanks', King of England (subject_or_mention) | Philippe IV, Roi de France (addressee) | Edward I 'Longshanks', King of England (subject_or_mention)","Pope Clement V writes to Philip IV of France regarding the castle of Mauléon (castrum de Maloleone) and related castles in the lordship of Soule. The letter concerns an ongoing dispute/negotiation between France and England over the restitution of Mauléon castle, with the Pope mediating through the Bishop of Sabina and Amanieu de Lebret. The matched persons are Philip IV (addressee/principal) and Edward I of England (principal counterparty, subject of the letter), with Auger de Mauléon as the noble holding the castle.","yes","high","lay_v_lay","high","yes","secular_territorial","high",""
"20028","1307","Clément V (1305-1314)","France","Mandement (littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France commending Arbertus Aycelini, newly provided as bishop of Clermont. The document recounts a disputed election at Clermont following the death of Bishop Peter: one faction elected Bernard de Ganniaco by compromise, while canon Johannes de Fargetis separately elected the prepositus; the matter was appealed to the Holy See, the prepositus resigned his claim, the election of Bernard was annulled, and the pope then provided Arbertus Aycelini by papal provision. Philip IV appears as the addressee being asked to support the new bishop.","no","medium","","","","ecclesiastical_appointments","high",""
"20029","1307","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee) | Edward I 'Longshanks', King of England (subject_or_mention) | Edward II, King of England (subject_or_mention)","Pope Clement V writes to Philip IV of France concerning the castle of Mauléon (castrum Malileonis/Maloleonis), urging its restitution as a precondition for the completion of the marriage between Edward II of England (the primogenitus who now reigns) and Philip IV's daughter. The letter conveys the apologies of the late Edward I and his son for Edward II's departure from England to Scotland due to the Scottish war, and presses Philip IV to restore the castle so that the long-delayed marriage and the associated peace between France and England can be concluded. The operative matter is a secular territorial/diplomatic dispute over the castle of Mauléon blocking the Franco-English peace and marriage arrangement, with Philip IV (matched, addressee) as the principal party holding the castle and the English crown as the counterparty pressing for restitution.","yes","high","lay_v_lay","high","yes","secular_territorial","high",""
"20030","1306","Clément V (1305-1314)","France","Mandement (littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V sends two cardinals (Berengarius, cardinal-priest of SS. Nereus and Achilleus, and Stephanus, cardinal-priest of S. Cyriacus in Thermis) to King Philip IV of France to discuss certain urgent matters touching Christendom and the French kingdom. The letter is a diplomatic notification/instruction asking the king to have his secret council assembled upon the cardinals' arrival. No dispute is operative; this is a routine diplomatic communication. Philippe IV appears as the addressee and sole matched person.","no","high","","","","other","high","papal diplomatic mission / political communication"
"20031","1306","Clément V (1305-1314)","France","Mandement (littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France to commend Guillaume, newly appointed bishop of Langres (Lingonensis), asking the king to show him honor and support. The pope explains that the see of Langres became vacant through the translation of Bertrand (formerly bishop of Langres) to the see of Agen, and that Guillaume, formerly abbot of Moissac, was provided to Langres by papal authority. This is a one-sided letter of commendation with no dispute involved. Philip IV appears as the addressee to whom the new bishop is being recommended.","no","high","","","","ecclesiastical_appointments","high",""
"20032","1307","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France to arrange a personal meeting (vista) at Poitiers in early April or May 1307 to discuss important matters. The letter is purely logistical/diplomatic, negotiating the time and place of the meeting while citing the pope's health concerns. There is no dispute; the document is a routine communication scheduling a bilateral encounter. Philip IV is the addressee and sole matched person.","no","high","","","","other","high","diplomatic/administrative communication (scheduling a papal-royal meeting)"
"20033","1307","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France regarding arrangements for their upcoming personal meeting at Poitiers, discussing the choice of location and time. The letter praises the king for following the pope's counsel in some unspecified matter (likely related to the Templars or peace negotiations) and expresses hope for a good outcome. There is no dispute; this is a diplomatic/administrative letter coordinating a papal-royal encounter. Philip IV is the addressee and sole matched person.","no","high","","","","other","high","diplomatic correspondence / papal-royal meeting arrangements"
"20034","1307","Clément V (1305-1314)","Iberia","Lettre, général (avant 1198)","Philippe IV, Roi de France (subject_or_mention) | Edward I 'Longshanks', King of England (subject_or_mention) | Louis X, Roi de France (subject_or_mention)","Pope Clement V writes to the prelates, barons, knights, nobles, and communities of the kingdom of Navarre to inform them of ongoing peace negotiations between the kings of France and England, and to explain why Louis (the French king's firstborn son and legitimate heir of Navarre) will not be travelling to Navarre at this time — he is needed at the peace talks and the crusade planning meeting at Poitiers. Philippe IV of France and Edward I of England appear as the parties to the peace being brokered; Louis X (as heir of Navarre) is the subject of the travel arrangements. All three matched persons appear only as subjects of mention in a diplomatic/informational letter; there is no live litigation or contested claim being adjudicated.","no","high","","","","secular_territorial","medium",""
"20035","1307","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee) | Edward I 'Longshanks', King of England (subject_or_mention) | Louis X, Roi de France (subject_or_mention)","Pope Clement V writes to Philip IV of France urging him to come to Poitiers in April to discuss a peace between France and England and to organize a crusade passage to the Holy Land. The pope also requests that Philip's eldest son Louis (future Louis X), who wished to travel to Navarre, delay his journey to attend these negotiations. This is a diplomatic letter, not a live dispute: the operative acts are brokering peace between France and England and organizing a crusade, with no active litigation or contested claim being adjudicated.","no","high","","","","crusade","medium",""
"20036","1307","Clément V (1305-1314)","France","Bulle","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France confirming Poitiers as the agreed meeting place for a mutual visit, explaining that he and his cardinals have already made preparations there at great expense and cannot change the location without significant inconvenience. This is a logistical/diplomatic letter arranging a personal encounter between the pope and the French king, with no dispute involved. Philip IV appears as the sole addressee.","no","high","","","","other","high","papal-royal diplomatic correspondence / logistical arrangement of meeting"
"20037","1307","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France to inform him that, on the advice of his physicians, he must undergo a bloodletting immediately after Easter and will therefore need several days of rest, meaning he cannot arrive in Poitiers on the first of April as previously announced. He expects to arrive within six or seven days of that date. This is a routine administrative/personal letter postponing a planned meeting, with no dispute involved. Philip IV is the addressee of the letter.","no","high","","","","other","high","personal/logistical communication (postponement of a meeting)"
"20038","1308","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France regarding the Templars, informing him that if the Order of the Temple is dissolved, suppressed, or abolished on account of its demerits, all its goods, rights, revenues, and proceeds shall be assigned to the aid of the Holy Land and converted to no other use. This is a unilateral papal communication/promise to the king, not a live dispute being adjudicated. Philip IV appears as the addressee and sole matched principal.","no","high","","","","crusade","medium",""
"20039","1308","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V issues a constitution regarding the goods of the Templars, addressed to King Philip IV of France. The document is a unilateral papal declaration assuring Philip IV and the prelates, dukes, counts, and other lords of France that no prejudice will arise to their existing rights (homages, fiefs, jurisdictions, censuses, etc.) over Templar properties from any ordinance or concession made by the pope or the king concerning the Templars and their goods following their arrest in 1307. Philip IV appears as the addressee and principal beneficiary of this assurance.","no","high","","","","ecclesiastical_property","high",""
"20040","1308","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V issues a constitution concerning the goods of the Order of the Temple (Knights Templar), whose members are imprisoned pending proceedings. The pope ordains that the Templar properties in France — revenues, fruits, rights — shall be devoted perpetually to the aid of the Holy Land, should the order be dissolved. He addresses King Philip IV of France (matched), who had placed royal custody over these goods, instructing him to protect and defend them under papal-appointed administrators, and to conserve the collected funds in safe places within France under his protection, to be spent only for the Holy Land with papal licence. This is a unilateral papal ordinance/disposition of Templar property, not a live dispute between two parties.","no","high","","","","ecclesiastical_property","high",""
"20041","1308","Clément V (1305-1314)","France","Mandement (littere cum filo canapis)","Philippe IV, Roi de France (subject_or_mention)","Pope Clement V issues a constitution (mandement) to all archbishops and bishops of France ordering them to appoint curators/administrators in their cities and dioceses to govern and conserve the goods of the Order of the Temple (Templars), pending further papal ordinance. The document is a one-sided administrative directive concerning the custody of Templar property; there is no live dispute between identifiable parties. Philippe IV, King of France, is mentioned only as a recipient of annual financial accounts from the administrators, not as a party to any conflict.","no","high","","","","ecclesiastical_property","high",""
"20042","1308","Clément V (1305-1314)","","Mandement (littere cum filo canapis)","Philippe IV, Roi de France (subject_or_mention)","Pope Clement V mandates Cardinal-Bishop Peter of Palestrina (Pierre de la Chapelle Taillefer) to take formal custody of the Templars arrested in France from King Philip IV, and to organize their detention within the kingdom on behalf of the pope and French prelates. The document concerns the ecclesiastical handling of the Templar affair — specifically the custody and presentation of Templar prisoners for inquisitorial proceedings on charges of heresy. Philip IV of France appears only as the party who had arrested and is now surrendering the Templars; he is not a disputant but a subject of mention in the operative act.","no","high","","","","other","high","Templar affair / heresy inquisition — custody of arrested Templars"
"20043","1308","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France informing him that he has entrusted the custody of the Templars (arrested in France on charges of heresy) to Peter, Bishop of Palestrina (Praeneste), granting him full apostolic authority to oversee their keeping within the French kingdom. This is an administrative letter concerning the management of the imprisoned Templars, not a live dispute between two parties. Philip IV is the addressee and matched principal, informed of the papal delegation of custodial authority.","no","high","","","","ecclesiastical_appointments","medium",""
"20044","1308","Clément V (1305-1314)","France","Mandement (littere cum filo canapis)","Jeanne I, Reina de Navarre (subject_or_mention) | Louis X, Roi de France (subject_or_mention)","Pope Clement V issues a mandate to the Archbishop of Sens, the Bishop of Orléans, and the Bishop-elect of Auxerre to conduct an inquisitorial investigation against Guichard Rigault, Bishop of Troyes, accused of sorcery, poisoning, and causing the death of Queen Joan of France/Navarre, as well as attempting to poison Charles, Count of Anjou, and the King of Navarre (Louis X). The document is a clerical disciplinary/criminal proceeding against a bishop. The matched Peerage persons (Queen Joan of Navarre and Louis X as King of Navarre) appear only as alleged victims mentioned in the charges, not as principals to the proceeding.","yes","high","church_v_lay","medium","no","ecclesiastical_appointments","high",""
"20045","1308","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France forwarding letters received from Amalric, Lord of Tyre and governor of Cyprus, and from brother Hayton, lord of Korykos, concerning the affair of the Templars and news from overseas (including the Sultan's naval preparations). The document is an informational letter transmitting correspondence, not a live dispute before the Church. Philip IV is the addressee/recipient of the forwarded intelligence.","no","medium","","","","other","medium","diplomatic correspondence / news transmission (Templar affair and Crusade intelligence)"
"20046","1308","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France commending Arnaud, bishop of Poitiers, whom he is sending to England to settle certain disputes (""discordiae"") there. The pope asks Philip to ensure his troops, also being sent to those parts, are ready to travel with the bishop so as not to delay him. This is a letter of recommendation/coordination, not itself a dispute proceeding. Philip IV is the addressee.","no","high","","","","ecclesiastical_appointments","medium",""
"20047","1308","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee) | Edward II, King of England (subject_or_mention)","Pope Clement V writes to King Philip IV of France responding to Philip's letter about the mission of Bishop Arnald of Poitiers to England. The bishop had been sent to mediate the dispute between King Edward II of England and his barons; Philip had detained the bishop and written to the pope explaining his reasons. The pope acknowledges Philip's report (including news brought by Aymer de Valence about a peace between Edward II and the barons, and about Edward's distribution of Templar goods) and responds to Philip's requests regarding the bishop's further instructions. Philip IV is the addressee/principal correspondent; Edward II and the English barons are the parties to the underlying English domestic conflict, mentioned as context.","yes","medium","lay_v_lay","high","no","secular_territorial","high",""
"20048","1307","Clément V (1305-1314)","France","Bulle","Philippe IV, Roi de France (addressee)","Pope Clement V sends his chaplain Arnald de Faugeriis (prepositus of Arles) to King Philip IV of France as a messenger, instructing the king to give full credence to what Arnald will report on behalf of the pope. The matters concern the arrest of the Templars everywhere, certain other recent news, and a letter granted by the pope regarding peace between France and England. This is a credential/credence letter, not a dispute document. Philip IV is the addressee and matched principal; the letter is purely diplomatic/administrative in nature.","no","high","","","","other","high","credence/diplomatic letter (Templar arrests, France-England peace)"
"20049","1307","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France regarding the affair of the Templars (""negotium Templariorum""). The letter clarifies a misunderstanding: Philip had heard that the pope had delegated the entire matter of the Templars (persons and goods) to the king's discretion via letters brought by papal notary Geoffrey de Plaissy, which the pope denies. The document is a clarifying/coordinating letter between the pope and the French king concerning the suppression of the Knights Templar — an active, live proceeding against the Order. Philip IV (matched) is the principal addressee and party; the Templars are the subject of the proceedings.","yes","medium","church_v_lay","medium","yes","ecclesiastical_appointments","medium",""
"20052","1309","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France regarding the ongoing proceedings (""negotium"") concerning the late Pope Boniface VIII, specifically the posthumous heresy process against him. The pope urges Philip to pursue an alternative path (""via alia"") previously agreed upon between them for resolving the matter, rather than continuing the formal citation process. This is not a live dispute between two parties before the Church in the strict judicial sense, but rather a diplomatic letter advising the king on how to proceed in a sensitive ecclesiastical-political affair. Philip IV is the addressee and principal recipient of the letter.","no","medium","","","","other","medium","Posthumous heresy proceedings against Boniface VIII; papal-royal diplomacy"
"20053","1309","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France praising his devotion to the Church and apparently soliciting his support regarding an injury done by the Doge, council, and commune of Venice, who had violently invaded and occupied Ferrara — a city belonging to the Roman Church by full right. The operative matter is the papal complaint/appeal to the French king concerning Venice's seizure of Church territory (Ferrara). Philip IV appears as the addressee/recipient of the papal letter; the real conflict is between the Roman Church and Venice over Ferrara.","yes","high","church_v_lay","high","no","ecclesiastical_property","high",""
"20054","1309","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France urging him to provide financial aid for the Holy Land (subsidium Terrae Sanctae) at the request of the Master of the Hospital of Saint John of Jerusalem. The pope recalls a previous apostolic letter making the same request and presses the king to finally deliver the promised funds to the Master of the Hospitallers. This is a one-sided exhortatory letter, not a dispute. Philip IV is the addressee/principal recipient of the papal appeal.","no","high","","","","crusade","high",""
"20056","1308","Clément V (1305-1314)","","Bulle (ad perpetuam rei memoriam)","Philippe IV, Roi de France (subject_or_mention)","Pope Clement V issues a constitution (bull) against counterfeiters and debaters of coinage in the kingdom of France and surrounding regions. The document is a legislative/disciplinary measure, not a dispute: it condemns those who mint false coins, debase royal coinage, or imitate the royal seal of Philip IV of France. Philip IV appears only as a reference point (his royal coinage is being counterfeited), not as a party to any litigation.","no","high","","","","other","high","papal constitution against currency counterfeiting/debasement"
"20057","1309","Clément V (1305-1314)","Eastern_Europe","Mandement (littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France urging support for a crusade passage to the Holy Land, to be conducted by the Knights Hospitaller in the coming spring and sustained over five years with financial support from the papal camera. The letter praises the Bishop of Rodez (Petrus, episcopus Ruthenensis), who is the papal legate in the relevant regions, and commends his virtues in advancing the crusade cause. Philip IV is the addressee and principal recipient of the mandate; there is no dispute — this is a one-sided exhortation and coordination letter for crusade planning.","no","high","","","","crusade","high",""
"20058","1309","Clément V (1305-1314)","France","Lettre, général (avant 1198)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France on two matters: (1) the affair of the Knights Templar (suppression, inquisition, administration of Templar goods), and (2) an impending duel between two nobles, Raymond Unaldi de Lantario and Astulfus de Rupeforti, who are related by consanguinity and have arranged to fight over frivolous causes, with many nobles of the region taking sides. The pope urges the king to intervene and prevent the duel, warning of the scandal it would cause. Philip IV is the addressee/principal; the two dueling nobles are the parties to the secondary dispute.","yes","medium","lay_v_lay","high","no","secular_territorial","medium",""
"20061","1309","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V informs King Philip IV of France of the translation of Bishop Philippe of Cambrai to the archiepiscopal see of Sens, which had become vacant upon the death of Archbishop Stephen. The letter is a one-sided notification/grant responding to the king's repeated requests for this transfer. There is no live dispute; the pope is simply acting on the king's petition to provide a suitable candidate for the vacant see. King Philip IV (matched) appears as the addressee and petitioner who requested the translation.","no","high","","","","ecclesiastical_appointments","high",""
"20062","1309","Clément V (1305-1314)","","Bulle","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France, forwarding a letter from the Master of the Hospital of Saint John of Jerusalem concerning the liberation of the Holy Land. The document is a one-sided papal communication sharing news and encouraging the king's continued devotion to the crusading cause; there is no live dispute. Philip IV is the addressee, and the Master of the Hospitallers is mentioned as the source of the enclosed letter.","no","high","","","","crusade","high",""
"20063","1313","Clément V (1305-1314)","","Lettre, général (avant 1198)","Philippe IV, Roi de France (subject_or_mention) | Robert III de Dampierre, Comte de Flandre (subject_or_mention) | Louis I de Flandre, Comte de Flandre (subject_or_mention)","Pope Clement V writes to Cardinal Nicholas of Sant'Eusebio, papal legate, instructing him to enforce the peace treaty between King Philip IV of France and the Count of Flanders (Robert III de Dampierre) and the Flemish communes. The pope had learned that the Flemish communes, together with Louis I of Flanders (son and heir of the count), were planning to break the peace and wage war against the French king, which could impede the crusade to the Holy Land. The cardinal-legate is mandated to negotiate, mediate, and ensure that Louis and the communes desist from hostilities and observe the confirmed peace. All three matched Peerage persons are principal parties to the dispute: Philip IV as one side, and Robert III/Louis I with the Flemish communes as the other.","yes","high","lay_v_lay","high","yes","secular_territorial","high",""
"20069","1307","Clément V (1305-1314)","Italy","Lettre, général (après 1198, littere cum filo canapis)","Charles II d'Anjou, King of Naples (addressee) | Robert II, Comte d'Artois (subject_or_mention)","Pope Clement V writes to Charles II of Anjou, King of Sicily, remitting a portion of the enormous debt (approximately 366,000 gold ounces) that Charles II owed to the Roman Church from loan contracts entered into by his father Charles I and himself, in connection with the long Sicilian war. This is a unilateral papal grant of debt relief, not a live dispute. Charles II is the addressee and beneficiary; Robert II, Count of Artois, is mentioned only as a former bailiff of the kingdom who participated in the original loan contracts.","no","high","","","","other","high","papal remission of financial debt owed to the Roman Church"
"20072","1310","Clément V (1305-1314)","","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee) | John de Hastings, 2nd Lord Hastings (subject_or_mention) | Edward II, King of England (subject_or_mention)","Pope Clement V writes to Philip IV, King of France, regarding the administration of Templar goods. John de Hastings, seneschal of Gascony, had appeared before the pope to complain that the administrators of Templar property nominated by Philip were acting to the prejudice of his lord, Edward II, King of England. The pope urges Philip to ensure that the administrators he nominated do not harm Edward II's rights and honor through illicit acts. The document concerns the management of Templar property and a grievance lodged by Hastings on behalf of Edward II against Philip's nominees.","yes","medium","church_v_lay","low","yes","ecclesiastical_property","high",""
"20074","1309","Clément V (1305-1314)","HRE","Lettre, général (après 1198, littere cum filo canapis)","Henri VII de Luxembourg, Holy Roman Emperor (addressee)","Pope Clement V writes to Henry VII, King of the Romans, on the relationship between the Sacerdotium and the Imperium, and then introduces a delegation of bishops and nobles (including the Count of Savoy, the Dauphin of Viennois, the Count of Albon, Guy of Flanders, and others) who appear to be acting as envoys or negotiators. The document is a general letter establishing the theological framework for papal-imperial cooperation, with no live dispute as its operative matter. Henry VII is the addressee of the letter.","no","medium","","","","secular_territorial","low",""
"20075","1309","Clément V (1305-1314)","HRE","Mandement (littere cum filo canapis)","Henri VII de Luxembourg, Holy Roman Emperor (subject_or_mention)","Pope Clement V issues a mandate to all ecclesiastical and secular subjects of Henry VII, King of the Romans, instructing them to obey the king, his dukes, procurators, envoys, and officials, and to render him his rights fully. This is a one-sided papal directive supporting royal authority, with no opposing party or live dispute. Henry VII of Luxembourg appears as the subject of the mandate (the king whose subjects are being addressed).","no","high","","","","secular_territorial","medium",""
"20076","1298","Boniface VIII (1294-1303)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Boniface VIII informs King Philip IV of France of the papal provision of Pierre de la Chapelle (formerly bishop of Carcassonne) to the vacant bishopric of Toulouse, following the death of Bishop Arnaud. This is a routine notification of a clerical appointment made by apostolic authority and reservation. There is no dispute; the pope is simply informing the king of the transfer. Philip IV appears as the addressee of the notification.","no","high","","","","ecclesiastical_appointments","high",""
