doc_id,year,pope,region,persons,summary,is_dispute,is_dispute_conf,dispute_parties,dispute_parties_conf,matched_principal,domain,domain_conf,domain_other_detail
20028,1307,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V commends to Philip IV the newly provided bishop of Clermont (Arbert Aycelin), recounting contested elections among canons that were appealed to the Holy See and resolved by papal provision. The election dispute is recited as resolved background; the operative act is the recommendation of the confirmed appointee. Domain is church office.",no,medium,,,,ecclesiastical_appointments,high,
20029,1307,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee) | Edward I 'Longshanks', King of England (subject_or_mention) | Edward II, King of England (subject_or_mention)","Clement V writes to Philip IV about the affair of the castle of Mauléon: the late Edward I and his heir (Edward II, now reigning) sent envoys excusing delays in the castle's restitution, tied to the prince's recall to the Scottish war and to a planned marriage. The live matter is the Franco-English territorial dispute over the castle; both crowns are principals (France matched, England matched via both kings).",yes,high,lay_v_lay,high,yes,secular_territorial,high,
20030,1306,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V announces sending cardinals to Philip IV for arduous business touching Christendom and especially the French realm, and reports his illness and recovery. Diplomatic correspondence arranging a meeting; no conflict between identifiable parties.",no,high,,,,other,medium,diplomacy (dispatch of cardinals for unspecified business; pope's health)
20031,1306,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V commends to Philip IV the bishop Guillaume of Langres, recounting the reservation and provision after Bertrand's translation. A one-sided recommendation regarding an episcopal appointment; no conflict. Domain is church office.",no,high,,,,ecclesiastical_appointments,high,
20032,1307,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)",Clement V tells Philip IV that the cardinals Berengar and Stephen are being sent to him for important business and arranges a meeting at Poitiers; he reports his illness. Diplomatic/scheduling correspondence; no conflict between parties.,no,high,,,,other,medium,diplomacy (arranging a papal-royal meeting)
20033,1307,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V writes to Philip IV about their future meeting at Poitiers (location, timing, the pope's health and medical treatment). Pure scheduling/diplomatic correspondence; no conflict between parties.",no,high,,,,other,medium,diplomacy (arranging the Poitiers meeting)
20034,1307,Clément V (1305-1314),Iberia,"Philippe IV, Roi de France (subject_or_mention) | Edward I 'Longshanks', King of England (subject_or_mention) | Louis X, Roi de France (subject_or_mention)","Clement V writes to the prelates, barons and communities of Navarre about the peace between the kings of France and England and the journey of Louis (Philip's heir, heir to Navarre), asking that Louis be excused from coming so he can attend the negotiations. Diplomacy/peacemaking and crusade preparation; the Franco-English peace is framed prospectively as the desired outcome, not an operative adjudicated dispute.",no,low,,,,other,medium,"diplomacy (Franco-English peace, crusade prep, royal heir's travel)"
20035,1307,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee) | Edward I 'Longshanks', King of England (subject_or_mention) | Louis X, Roi de France (subject_or_mention)","Clement V writes to Philip IV on the same matter: solidifying peace between France and England, the crusade passage, and Louis's journey to Navarre, asking the heir to delay his trip to attend the negotiations. Diplomatic/peacemaking correspondence; the Franco-English peace is framed prospectively, not as an adjudicated dispute.",no,low,,,,other,medium,"diplomacy (Franco-English peace, crusade prep, royal heir's travel)"
20036,1307,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V writes to Philip IV about the Poitiers journey, noting the location is fixed and asking him to come on time. Pure scheduling/diplomatic correspondence; no conflict.",no,high,,,,other,medium,diplomacy (scheduling the Poitiers meeting)
20037,1307,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)",Clement V writes to Philip IV about deferring the date of their mutual meeting due to the pope's need for medical treatment after Easter. Pure scheduling correspondence; no conflict.,no,high,,,,other,medium,diplomacy (rescheduling the meeting)
20038,1308,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V assures Philip IV that if the Templar order is dissolved, all its goods will be devoted to the aid of the Holy Land. A one-sided papal constitution regarding disposition of Templar property; no live two-party conflict is the operative matter. Domain is ecclesiastical (Templar) property.",no,medium,,,,ecclesiastical_property,medium,
20039,1308,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V's constitution declaring that no prejudice to the rights (homages, fiefs, jurisdictions, census) of the king, prelates, dukes, counts and others in Templar goods shall arise from arrangements made about the Templars. A one-sided papal ordinance protecting rights in Templar property; no live conflict between parties.",no,medium,,,,ecclesiastical_property,medium,
20040,1308,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V's constitution on the governance and disposition of the goods of the Templar order, providing for administrators/curators and that monies be kept under royal protection for the Holy Land subsidy. A one-sided administrative ordinance on Templar property; no live two-party conflict.",no,medium,,,,ecclesiastical_property,medium,
20041,1308,Clément V (1305-1314),France,"Philippe IV, Roi de France (subject_or_mention)",Clement V mandates all archbishops and bishops of France to appoint curators/administrators to govern and preserve the goods of the Templar order. An administrative mandate concerning custody of Templar property; no live conflict between parties.,no,high,,,,ecclesiastical_property,medium,
20042,1308,Clément V (1305-1314),,"Philippe IV, Roi de France (subject_or_mention)","Clement V commits to the cardinal-bishop of Palestrina the custody of the Templars whom the King of France handed over (arrested on grounds of heresy at the inquisitor's request), with power to receive them and arrange their custody. An administrative mandate about custody of the arrested Templars in the heresy proceedings; no live two-party conflict is the operative matter.",no,medium,,,,other,medium,Templar trial/Inquisition administration (custody of arrested Templars)
20043,1308,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)",Clement V informs Philip IV that he has committed the custody of the Templars (whom the king handed over at the inquisitor's request on grounds of heresy) to the bishop of Palestrina. Administrative/news letter about custody arrangements in the Templar heresy proceedings; no live two-party conflict.,no,medium,,,,other,medium,Templar trial/Inquisition administration (custody of arrested Templars)
20044,1308,Clément V (1305-1314),France,"Jeanne I, Reina de Navarre (subject_or_mention) | Louis X, Roi de France (subject_or_mention)","Clement V delegates the archbishop of Sens and bishops of Orléans and Auxerre to investigate the bishop of Troyes (Guichard), accused of sorcery and of attempting to poison the late Queen Joan of France/Navarre, Charles of Anjou, and the king of Navarre (Louis). An inquiry/criminal proceeding against the bishop; the matched persons appear only as alleged victims, not as parties. Not a two-party arbitration; coded as a criminal inquiry against a cleric.",no,medium,,,,other,medium,criminal inquiry against a bishop (sorcery/poisoning)
20045,1308,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee) | John de Hastings, 2nd Lord Hastings (subject_or_mention) | Edward II, King of England (subject_or_mention)","Clement V writes to Philip IV about the goods of the Templars, conveying a complaint (querela) brought by John de Hastings, seneschal of Gascony for the King of England, against administrators of Templar goods named at the French king's nomination, asking that no prejudice be done to the English king's rights. A live grievance between the English crown's officer (Hastings, matched) and the French-nominated administrators over rights in Templar (church) property; Hastings is a principal complainant.",yes,medium,mixed,low,yes,ecclesiastical_property,medium,
20046,1308,Clément V (1305-1314),France,"Henri VII de Luxembourg, Holy Roman Emperor (addressee)","Clement V writes to Henry, King of the Romans, on the relationship of priesthood and empire and, via named envoys, matters touching his recognition. Ceremonial/diplomatic correspondence on the empire and its relation to the Church; no live two-party conflict is the operative matter.",no,medium,,,,other,low,diplomacy regarding the King of the Romans / empire
20047,1308,Clément V (1305-1314),France,"Henri VII de Luxembourg, Holy Roman Emperor (subject_or_mention)","Clement V exhorts all ecclesiastical and secular subjects of Henry, King of the Romans, to obey him and his officers and answer for his rights. A general circular supporting the king's authority; no conflict between parties.",no,medium,,,,other,low,diplomacy/exhortation to obey the King of the Romans
20048,1307,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Boniface VIII writes to Philip IV regarding the see of Toulouse, conferred on Peter (formerly bishop of Carcassonne) after the death of bishop Arnald. A one-sided recommendation/notice regarding an episcopal translation; no conflict. Domain is church office.",no,high,,,,ecclesiastical_appointments,high,
20049,1307,Clément V (1305-1314),France,"Philippe IV, Roi de France (subject_or_mention) | Edward II, King of England (subject_or_mention)","John XXII issues a citation of Bertrand, viscount of Lomagne and Auvillars, concerning large sums assigned to him by Clement V for the Holy Land subsidy and pious uses, including debts owed by the kings of France and England. The operative matter is a fiscal accounting/citation over crusade funds held by the viscount; the matched kings appear only as debtors mentioned. A live recovery claim by the papacy against the viscount.",yes,medium,church_v_lay,medium,no,crusade,medium,
20052,1309,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V writes to Philip IV about the affair of Boniface VIII: he has cited those who wished to accuse or defend the late Boniface VIII on the charge of heresy, and urges the king to pursue the matter by the other, more salubrious path agreed between them. The substance is the posthumous heresy proceeding concerning Boniface VIII and how to handle it; the king is being advised on the procedural path. Not a live adjudicated two-party conflict between identifiable parties.",no,low,,,,other,medium,posthumous heresy proceeding concerning Boniface VIII
20053,1309,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V writes to Philip IV concerning the injury done by the doge, council and commune of Venice, who hostilely invaded and occupied Ferrara with its county and district, belonging by full right to the Roman Church, praising the king's devotion in defending the Church. The live conflict is between the Roman Church (papacy, ecclesiastical) and Venice (the doge and commune, lay, unmatched) over the occupation of Ferrara, papal territory. The matched king appears only as a praised supporter/defender of the Church, not a principal.",yes,high,church_v_lay,high,no,ecclesiastical_property,medium,
20054,1309,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V writes to Philip IV at the instance of the master of the Hospital of Jerusalem, urging the king to provide the promised monetary aid for the Holy Land subsidy and the coming crusade passage. A one-sided exhortation to fulfill a crusade-aid pledge; no live two-party conflict. Domain is crusade (Holy Land subsidy).",no,high,,,,crusade,high,
20056,1308,Clément V (1305-1314),,"Philippe IV, Roi de France (subject_or_mention)","Clement V issues a constitution against counterfeiters and adulterators of the coinage in the realm of France, censuring those who forge or debase money bearing the royal stamp. A one-sided papal constitution on a fiscal/criminal matter (coinage); the King of France appears as the issuer of the genuine coinage. No live two-party conflict.",no,high,,,,other,high,constitution against counterfeiters of the coinage (fiscal/criminal)
20057,1309,Clément V (1305-1314),Eastern_Europe,"Philippe IV, Roi de France (addressee)","Clement V writes to Philip IV at the instance of the bishop of Rodez (papal legate), regarding the planned crusade passage by the Hospitallers for the relief of the Holy Land and the legate's mission, praising the king's zeal. A one-sided exhortation/commendation concerning the crusade passage and the legate; no live two-party conflict. Domain is crusade.",no,high,,,,crusade,high,
20058,1309,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V writes to Philip IV about the Templars affair and about the duel arranged between the knights Raymond Unaldi de Lantar and Astulf de Rochefort (kinsmen), asking the king to prevent the duel, around which nobles are taking sides and feared scandals could arise. The operative content is twofold: news of the Templar business and the pope asking the king to stop a duel. The duel is a private armed quarrel between two (unmatched) knights; the pope intervenes to prevent it. Treated as a live conflict the Church is intervening to defuse.",yes,low,lay_v_lay,medium,no,other,low,papal intervention to prevent a judicial duel between two knights
20061,1309,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V writes to Philip IV about the translation of Philip, bishop of Cambrai, to the see of Sens, at the king's repeated request. A one-sided notice/recommendation regarding an episcopal translation made at royal petition; no conflict between parties. Domain is church office.",no,high,,,,ecclesiastical_appointments,high,
20062,1309,Clément V (1305-1314),,"Philippe IV, Roi de France (addressee)",Clement V writes to Philip IV at the instance of the master of the Hospital of St John of Jerusalem for the liberation/aid of the Holy Land. A one-sided exhortation concerning the crusade/Holy Land subsidy; no live two-party conflict. Domain is crusade.,no,high,,,,crusade,high,
20063,1313,Clément V (1305-1314),,"Philippe IV, Roi de France (subject_or_mention) | Robert III de Dampierre, Comte de Flandre (subject_or_mention) | Louis I de Flandre, Comte de Flandre (subject_or_mention)","Clement V directs cardinal Nicholas (legate) to ensure observance of the peace made between the King of France and the count of Flandre and the Flemish communities, because Louis (son of the count of Flandre) and the communities were proposing to break it and wage war in the realm, which could impede the Holy Land business. A live conflict over a peace between the King of France (lay) and the count/communities of Flandre (lay): the matched Philip IV and the counts of Flandre are principals to the threatened renewed war. Lay-vs-lay secular/territorial peace enforcement.",yes,high,lay_v_lay,high,yes,secular_territorial,high,
20069,1307,Clément V (1305-1314),Italy,"Charles II d'Anjou, King of Naples (addressee) | Robert II, Comte d'Artois (subject_or_mention)","Clement V remits to Charles II, king of Sicily, part of the money (some 366,000 ounces of gold from loans) that he owed to the Roman Church, in view of the long Sicilian war and Charles's losses. A one-sided act of grace remitting a debt owed to the Church; no live two-party conflict (the war is recited as background to justify the remission). The count of Artois appears as a former bailiff/contractor mentioned. Domain is fiscal (debt remission).",no,medium,,,,other,medium,fiscal grace (remission of debt owed to the Roman Church)
20072,1310,Clément V (1305-1314),,"Philippe IV, Roi de France (addressee) | John de Hastings, 2nd Lord Hastings (subject_or_mention) | Edward II, King of England (subject_or_mention)","Clement V writes to Philip IV about the goods of the Templars, conveying a complaint (querela) brought by John de Hastings, seneschal of Gascony (officer of Edward II of England), against the illicit acts of administrators of Templar goods named at the French king's nomination, asking that the English king's rights be safeguarded. A live grievance between the English crown's officer (Hastings, matched) and the French-nominated administrators over Templar (church) property; Hastings is a principal complainant.",yes,medium,mixed,low,yes,ecclesiastical_property,medium,
20074,1309,Clément V (1305-1314),HRE,"Henri VII de Luxembourg, Holy Roman Emperor (addressee)","Clement V writes to Henry, King of the Romans, on the two great powers (priesthood and empire) and, via named envoys (bishops and counts), matters touching the empire and his relation to the Church. Ceremonial/diplomatic correspondence regarding the empire; no live two-party conflict is the operative matter.",no,medium,,,,other,low,diplomacy regarding the King of the Romans / empire
20075,1309,Clément V (1305-1314),HRE,"Henri VII de Luxembourg, Holy Roman Emperor (subject_or_mention)","Clement V's letter to the subjects (ecclesiastical and secular) of Henry, King of the Romans, exhorting them to obey him and his envoys and officers. A general circular supporting the king's authority; no conflict between parties.",no,medium,,,,other,low,diplomacy/exhortation to obey the King of the Romans
20076,1298,Boniface VIII (1294-1303),France,"Philippe IV, Roi de France (addressee)","Boniface VIII writes to Philip IV about the see of Toulouse, conferred on Peter (formerly bishop of Carcassonne) after the death of bishop Arnald, asking royal favor. A one-sided recommendation/notice regarding an episcopal translation; no conflict. Domain is church office.",no,high,,,,ecclesiastical_appointments,high,
20085,1320,Jean XXII (1316-1334),,"Philippe IV, Roi de France (subject_or_mention) | Edward II, King of England (subject_or_mention)","John XXII issues a bull containing the citation of Bertrand, viscount of Lomagne and Auvillars, concerning the large sums (Holy Land subsidy and pious-use funds) assigned to him by Clement V, including debts owed to Clement V by the kings of France and England. The operative matter is the fiscal accounting/citation over crusade funds held by the viscount; the matched kings appear only as debtors mentioned. A live recovery claim by the papacy against the viscount.",yes,medium,church_v_lay,medium,no,crusade,medium,
20087,1321,Jean XXII (1316-1334),,"Philippe V, Roi de France (subject_or_mention) | Charles I de France, Comte de Valois (subject_or_mention) | Charles IV, Roi de France (subject_or_mention) | Edward II, King of England (subject_or_mention) | Alfonso XI, Rey de Castilla y LeÃ³n (subject_or_mention)","John XXII issues a bull on the ordering of the affair of Bertrand, viscount of Lomagne and Auvillars, concerning recovery of crusade funds assigned by Clement V, naming various kings as potential parties/guarantors and citing the viscount under excommunication/interdict. The operative matter is the papacy's fiscal-recovery proceeding against the viscount over the Holy Land subsidy funds; the matched kings appear only as mentions. A live claim by the Church against the viscount.",yes,medium,church_v_lay,medium,no,crusade,medium,
20091,1322,Jean XXII (1316-1334),,"Charles IV, Roi de France (subject_or_mention) | Blanche de Bourgogne (subject_or_mention) | Louis I de Clermont, Duc de Bourbon (subject_or_mention) | Matilda d'Artois, Comtesse d'Artois (subject_or_mention)","John XXII declares null the marriage formerly contracted between Charles (IV) of France and Blanche of Burgundy on grounds of consanguinity and spiritual affinity impediments, on petition presented through royal envoys. The operative act is the adjudication of marriage nullity; it resolves the contested validity of the marriage between the two spouses. Charles IV and Blanche are the principals; the others appear as envoys/relatives.",yes,medium,lay_v_lay,medium,yes,marriage,high,
20092,1326,Jean XXII (1316-1334),Iberia,"Charles IV, Roi de France (addressee) | Blanche de Bourgogne (subject_or_mention) | Marie de Luxembourg (subject_or_mention) | Jeanne d'Evreux (subject_or_mention) | Louis de France, Comte d'Evreux (subject_or_mention)","John XXII confirms the marriage of Charles IV of France with Joan, daughter of Louis count of Evreux, recounting the prior judicial annulment of his marriage to Blanche of Burgundy. The operative act is confirmation of the new marriage (with recital of the resolved nullity case); the contested nullity is recited as concluded background. Domain is marriage.",no,medium,,,,marriage,high,
20099,1343,Clément VI (1342-1352),Iberia,"Pedro IV, Rey de AragÃ³n (addressee) | Constanza de AragÃ³n (subject_or_mention)","Clement VI replies to Peter IV of Aragon's letter justifying his proceedings and war against James (III) of Majorca, urging Peter to clemency and peace given their kinship. The live conflict is the war between Peter IV of Aragon and the (unmatched here) king of Majorca over Majorca; Peter is a principal, and his sister Constance (Majorca's queen) is mentioned. An inter-dynastic territorial/sovereignty conflict the pope is mediating.",yes,high,lay_v_lay,high,yes,secular_territorial,high,
20100,1344,Clément VI (1342-1352),Iberia,"Pedro IV, Rey de AragÃ³n (subject_or_mention)","Clement VI writes to the infante Peter of Aragon about the affair of the kingdom of Majorca, lamenting the discord between Peter IV of Aragon and James of Majorca and recounting his peacemaking efforts, asking the addressee to help. The live conflict is the war between Aragon and Majorca over the kingdom; the matched Peter IV is a principal disputant. Inter-realm territorial conflict.",yes,high,lay_v_lay,high,yes,secular_territorial,high,
20101,1344,Clément VI (1342-1352),,"Pedro IV, Rey de AragÃ³n (subject_or_mention)","Clement VI writes to James, king of Majorca, responding to his request that, notwithstanding the legate's peace mission, the pope grant him justice against Peter IV of Aragon and the Majorcans. The live conflict is between James of Majorca (addressee, unmatched) and Peter IV of Aragon (matched mention) over their war; the pope discusses amicable settlement vs. justice. An inter-realm territorial conflict.",yes,high,lay_v_lay,high,yes,secular_territorial,high,
20102,1344,Clément VI (1342-1352),Iberia,"Pedro IV, Rey de AragÃ³n (addressee)","Clement VI urges Peter IV of Aragon to deal graciously with the king of Majorca, who, after Peter subjugated Majorca and most of his lands, submitted himself and the land into Peter's power. The live conflict is the war between Aragon and Majorca over the kingdom (James of Majorca, the defeated party, unmatched); Peter IV is a principal. Inter-realm territorial conflict.",yes,high,lay_v_lay,high,yes,secular_territorial,high,
20103,1344,Clément VI (1342-1352),Iberia,"Pedro IV, Rey de AragÃ³n (addressee)","Clement VI exhorts Peter IV of Aragon toward reconciliation and concord with James, king of Majorca, his kinsman, over their conflict. The live conflict is the Aragon–Majorca war (James unmatched); Peter IV is a principal whom the pope is mediating. Inter-realm territorial/sovereignty conflict.",yes,high,lay_v_lay,high,yes,secular_territorial,high,
20104,1344,Clément VI (1342-1352),,"Pedro IV, Rey de AragÃ³n (addressee)","Clement VI writes to Peter IV of Aragon about the affair of James, king of Majorca, recounting his repeated legates and efforts to reform peace between the two kings and announcing another nuncio. The live conflict is the Aragon–Majorca war (James unmatched); Peter IV is a principal disputant being mediated. Inter-realm territorial conflict.",yes,high,lay_v_lay,high,yes,secular_territorial,high,
20105,1344,Clément VI (1342-1352),Iberia,"Pedro IV, Rey de AragÃ³n (addressee) | Constanza de AragÃ³n (subject_or_mention)","Clement VI again begs Peter IV of Aragon to make peace with James, king of Majorca, his kinsman, recalling his fallen estate and the offspring James had with Peter's sister Constance. The live conflict is the Aragon–Majorca war (James unmatched); Peter IV is a principal, Constance a mention. Inter-realm territorial conflict.",yes,high,lay_v_lay,high,yes,secular_territorial,high,
20112,1345,Clément VI (1342-1352),France,"Philippe VI, Roi de France (addressee)","Clement VI asks Philip VI to revoke grievances inflicted by royal officers of the seneschalsy of Toulouse upon the archbishop and church of Toulouse, on the archbishop's petition. A live grievance between the church of Toulouse (archbishop, ecclesiastical, the injured party) and the royal officials/crown (lay) over the church's rights and liberties. The matched king is addressee/principal whose officers caused the injury.",yes,medium,church_v_lay,high,yes,ecclesiastical_property,medium,
20114,1345,Clément VI (1342-1352),France,"Philippe VI, Roi de France (addressee)","Clement VI commends to Philip VI his own brother Guillaume Roger, viscount of Beaufort, who had bought (with royal assent) the land of Alès from the dauphin of Vienne, asking for royal confirmation. A one-sided recommendation regarding a land purchase and its royal confirmation; no conflict between parties. Domain is a secular land/fief transaction.",no,high,,,,secular_territorial,low,
20116,1345,Clément VI (1342-1352),Iberia,"Pedro IV, Rey de AragÃ³n (addressee)","Clement VI commends to Peter IV of Aragon the newly provided archbishop of Zaragoza (Peter, the pope's nephew), asking royal favor for his ministers and procurators. A one-sided recommendation regarding an archiepiscopal appointment; no conflict. Domain is church office.",no,high,,,,ecclesiastical_appointments,high,
20119,1346,Clément VI (1342-1352),France,"Philippe VI, Roi de France (addressee)","Clement VI writes to Philip VI on behalf of Nicholas, archbishop of Rouen, regarding excesses committed by inhabitants of a town subject to the archbishop's temporal jurisdiction against his officials; the archbishop's men seek satisfaction at the royal court. A live conflict between the archbishop of Rouen (ecclesiastical, injured party) and the townspeople (lay) over attacks and jurisdiction, before the royal court. The matched king is asked to favor the archbishop; the principals are the archbishop and the townsmen (unmatched).",yes,medium,church_v_lay,high,no,ecclesiastical_property,low,
20120,1346,Clément VI (1342-1352),France,"Philippe VI, Roi de France (addressee)","Clement VI asks Philip VI to remedy grievances by royal officers against the archbishop of Rouen at Dieppe: the crown imposed its own captain and seized the archbishop's temporalities, crops and revenues. A live conflict between the archbishop/church of Rouen (ecclesiastical) and the royal officers/crown (lay) over seizure of church temporalities and revenues. The matched king is addressee; the principals are the archbishop and the royal officials.",yes,medium,church_v_lay,high,yes,ecclesiastical_property,high,
20121,1346,Clément VI (1342-1352),France,"Philippe VI, Roi de France (addressee) | Jeanne de Bourgogne (subject_or_mention)","Clement VI writes to Philip VI to clear cardinal Galhard de la Mothe and his servant Peter Vitalis, falsely accused before the king of speaking against the honor of the king and queen Joan; the accusers were found to be perjurers. A live conflict centering on calumnious accusations against the cardinal and his servant; the principals are the cardinal's household (ecclesiastical) and the false accusers (lay). The matched king and queen appear as the allegedly offended parties/addressees, not the disputants.",yes,low,mixed,low,no,other,medium,defamation/false-accusation matter concerning a cardinal's servant
20122,1346,Clément VI (1342-1352),Italy,"Joanna I d'Anjou, Queen of Naples (addressee)","Clement VI agrees to be the spiritual godfather of the unborn child of Queen Joan of Sicily, responding positively to her petition. A one-sided gracious response; no conflict between parties. A personal/spiritual matter (godparenthood).",no,high,,,,other,medium,spiritual sponsorship (pope agreeing to be godfather)
20123,1346,Clément VI (1342-1352),Italy,"Joanna I d'Anjou, Queen of Naples (addressee) | Andrew d'Anjou, Duke of Calabria (subject_or_mention)","Clement VI congratulates Queen Joan of Sicily on the birth of her son (named Charles), child of the late King Andrew, recounting the birth and baptism. A one-sided congratulatory letter; no conflict between parties.",no,high,,,,other,medium,congratulatory news (royal birth and baptism)
20124,1346,Clément VI (1342-1352),,"Philippe VI, Roi de France (addressee)","Clement VI writes to Philip VI about the affair of the town of Mechelen (Malines) and the duke of Brabant, noting he is writing to the duke and the bishop and chapter of Liège to advance the matter. A live dispute between the King of France and John, duke of Brabant (lay, unmatched) over the town of Mechelen, involving also the bishop/chapter of Liège. The matched king is a principal; the substance is a contested town/territory among rulers (with ecclesiastical parties at Liège involved).",yes,medium,mixed,medium,yes,secular_territorial,medium,
